"PlayerID","TimeStamp","datenum of timestamp","#head impacts"
"'040078055'","'2018-09-18 20:20:00'","737321.84722222","3"
"'040077950'","'2018-09-18 20:15:00'","737321.84375","5"
"'040078043'","'2018-09-18 20:15:00'","737321.84375","1"
"'040078055'","'2018-09-18 20:15:00'","737321.84375","1"
"'040069137'","'2018-09-18 20:15:00'","737321.84375","2"
"'040078079'","'2018-09-18 20:15:00'","737321.84375","3"
"'040079460'","'2018-09-18 20:15:00'","737321.84375","1"
"'040078097'","'2018-09-18 20:15:00'","737321.84375","6"
"'040077960'","'2018-09-18 20:15:00'","737321.84375","3"
"'040078092'","'2018-09-18 20:15:00'","737321.84375","1"
"'040078040'","'2018-09-18 20:10:00'","737321.84027778","1"
"'040077950'","'2018-09-18 20:10:00'","737321.84027778","1"
"'040078097'","'2018-09-18 20:10:00'","737321.84027778","4"
"'040056208'","'2018-09-18 20:10:00'","737321.84027778","1"
"'040078043'","'2018-09-18 20:10:00'","737321.84027778","1"
"'040078060'","'2018-09-18 20:05:00'","737321.83680556","1"
"'040078095'","'2018-09-18 20:05:00'","737321.83680556","1"
"'040078097'","'2018-09-18 20:05:00'","737321.83680556","3"
"'040077964'","'2018-09-18 19:55:00'","737321.82986111","1"
"'040077942'","'2018-09-18 19:55:00'","737321.82986111","1"
"'040077950'","'2018-09-18 19:50:00'","737321.82638889","1"
"'040078056'","'2018-09-18 19:50:00'","737321.82638889","1"
"'040078081'","'2018-09-18 19:50:00'","737321.82638889","1"
"'040056208'","'2018-09-18 19:50:00'","737321.82638889","1"
"'040078097'","'2018-09-18 19:50:00'","737321.82638889","1"
"'040078097'","'2018-09-18 19:45:00'","737321.82291667","1"
"'040078056'","'2018-09-18 19:45:00'","737321.82291667","2"
"'040078056'","'2018-09-18 19:40:00'","737321.81944444","3"
"'040077950'","'2018-09-18 19:35:00'","737321.81597222","1"
"'040078092'","'2018-09-18 19:35:00'","737321.81597222","2"
"'040078097'","'2018-09-18 19:35:00'","737321.81597222","1"
"'040078056'","'2018-09-18 19:35:00'","737321.81597222","1"
"'040078048'","'2018-09-17 21:00:00'","737320.875","1"
"'040077950'","'2018-09-17 21:00:00'","737320.875","4"
"'040078051'","'2018-09-17 21:00:00'","737320.875","1"
"'040078095'","'2018-09-17 21:00:00'","737320.875","2"
