PlayerID,TimeStamp,datenum of Timestamp,Low Activity ,Medium Activity,High Activity,percent{( Med+High)/sum}
'040077937','2018-09-18 20:05:00',737321.83680556,28,107,17,8.1578947368421
'040078064','2018-09-18 19:55:00',737321.82986111,6,43,96,9.5862068965517
'040078064','2018-09-18 20:00:00',737321.83333333,28,83,42,8.1699346405229
'040078064','2018-09-18 20:05:00',737321.83680556,37,77,39,7.5816993464052
'040078080','2018-09-18 19:50:00',737321.82638889,83,40,21,4.2361111111111
'040078080','2018-09-18 19:55:00',737321.82986111,32,65,55,7.8947368421053
'040078080','2018-09-18 20:00:00',737321.83333333,28,53,71,8.1578947368421
'040078093','2018-09-18 19:50:00',737321.82638889,35,69,46,7.6666666666667
'040078093','2018-09-18 19:55:00',737321.82986111,37,74,41,7.5657894736842
'040078093','2018-09-18 20:00:00',737321.83333333,35,83,35,7.7124183006536
'040077971','2018-09-18 19:55:00',737321.82986111,17,58,76,8.8741721854305
'040077971','2018-09-18 20:00:00',737321.83333333,29,79,43,8.0794701986755
'040077971','2018-09-18 20:05:00',737321.83680556,44,75,34,7.1241830065359
'040078057','2018-09-18 19:50:00',737321.82638889,13,55,77,9.1034482758621
'040078057','2018-09-18 19:55:00',737321.82986111,26,69,58,8.3006535947712
'040078057','2018-09-18 20:00:00',737321.83333333,38,80,35,7.5163398692811
'040078078','2018-09-18 20:00:00',737321.83333333,54,38,57,6.3758389261745
'040078078','2018-09-18 20:05:00',737321.83680556,40,43,69,7.3684210526316
'040078078','2018-09-18 20:10:00',737321.84027778,11,35,106,9.2763157894737
'040078055','2018-09-18 20:00:00',737321.83333333,41,72,39,7.3026315789474
'040078055','2018-09-18 20:05:00',737321.83680556,60,55,39,6.1038961038961
'040078055','2018-09-18 20:10:00',737321.84027778,28,70,53,8.1456953642384
'040078068','2018-09-18 20:00:00',737321.83333333,27,45,78,8.2
'040078068','2018-09-18 20:05:00',737321.83680556,71,43,39,5.359477124183
'040078068','2018-09-18 20:10:00',737321.84027778,80,30,41,4.7019867549669
'040077950','2018-09-18 20:00:00',737321.83333333,21,78,46,8.551724137931
'040077950','2018-09-18 20:05:00',737321.83680556,25,71,56,8.3552631578947
'040077950','2018-09-18 20:10:00',737321.84027778,16,65,72,8.9542483660131
'040078040','2018-09-18 20:00:00',737321.83333333,54,63,32,6.3758389261745
'040078040','2018-09-18 20:05:00',737321.83680556,31,73,51,8
'040078040','2018-09-18 20:10:00',737321.84027778,26,56,72,8.3116883116883
'040077969','2018-09-18 20:00:00',737321.83333333,20,69,56,8.6206896551724
'040077969','2018-09-18 20:05:00',737321.83680556,66,56,30,5.6578947368421
'040077969','2018-09-18 20:10:00',737321.84027778,33,86,32,7.8145695364238
'040078036','2018-09-18 20:05:00',737321.83680556,69,45,32,5.2739726027397
'040078036','2018-09-18 20:10:00',737321.84027778,30,49,74,8.0392156862745
'040078036','2018-09-18 20:15:00',737321.84375,23,46,84,8.4967320261438
'040078038','2018-09-18 20:00:00',737321.83333333,57,33,55,6.0689655172414
'040078038','2018-09-18 20:05:00',737321.83680556,85,32,36,4.4444444444444
'040078038','2018-09-18 20:10:00',737321.84027778,70,45,36,5.364238410596
'040078051','2018-09-18 20:05:00',737321.83680556,15,46,88,8.993288590604
'040078051','2018-09-18 20:10:00',737321.84027778,14,28,110,9.078947368421
'040078051','2018-09-18 20:15:00',737321.84375,5,52,96,9.6732026143791
'040077974','2018-09-18 20:05:00',737321.83680556,54,54,39,6.3265306122449
'040077974','2018-09-18 20:10:00',737321.84027778,16,100,37,8.9542483660131
'040077974','2018-09-18 20:15:00',737321.84375,41,82,30,7.3202614379085
'040078072','2018-09-18 20:00:00',737321.83333333,51,72,18,6.3829787234043
'040078072','2018-09-18 20:05:00',737321.83680556,45,67,41,7.0588235294118
'040078072','2018-09-18 20:10:00',737321.84027778,34,96,22,7.7631578947368
'040078083','2018-09-18 20:00:00',737321.83333333,63,46,25,5.2985074626866
'040078083','2018-09-18 20:05:00',737321.83680556,64,39,49,5.7894736842105
